,Tokens,Annotator1,Labels-Annotator1,Actor-Annotator1,Association-Annotator1,Annotator2,Labels-Annotator2,Actor-Annotator2,Association-Annotator2
0,This,O,O,O,O,O,O,O,O
1,is,O,O,O,O,O,O,O,O
2,my,O,O,O,O,O,O,O,O
3,settings,O,O,O,O,O,O,O,O
4,screen,O,O,O,O,O,O,O,O
5,",",O,O,O,O,O,O,O,O
6,so,O,O,O,O,O,O,O,O
7,I,O,O,O,O,O,O,O,O
8,use,O,O,O,O,O,O,O,O
9,it,O,O,O,O,O,O,O,O
10,to,O,O,O,O,O,O,O,O
11,modify,"[{'info': 'modify-1', 'subject': 'User', 'attribute': 'Verb', 'label': 'Goal'}]",['Verb'],['User'],[['modify-11']],"[{'info': 'modify-1', 'subject': 'User', 'attribute': 'Verb', 'label': 'DataPractice'}]",['Verb'],['User'],[['modify-11']]
12,downloads,"[{'info': 'modify-1', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-11']],"[{'info': 'modify-1', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-11']]
13,and,O,O,O,O,O,O,O,O
14,I,O,O,O,O,O,O,O,O
15,can,O,O,O,O,O,O,O,O
16,change,"[{'info': 'change-2', 'subject': 'User', 'attribute': 'Verb', 'label': 'Goal'}]",['Verb'],['User'],[['change-16']],"[{'info': 'change-2', 'subject': 'User', 'attribute': 'Verb', 'label': 'DataPractice'}]",['Verb'],['User'],[['change-16']]
17,sound,"[{'info': 'change-2', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['change-16']],"[{'info': 'change-2', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['change-16']]
18,quality,"[{'info': 'change-2', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['change-16']],"[{'info': 'change-2', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['change-16']]
19,for,O,O,O,O,O,O,O,O
20,the,O,O,O,O,O,O,O,O
21,audio,O,O,O,O,O,O,O,O
22,tracks,O,O,O,O,O,O,O,O
23,.,O,O,O,O,O,O,O,O
24,I,O,O,O,O,O,O,O,O
25,can,O,O,O,O,O,O,O,O
26,also,O,O,O,O,O,O,O,O
27,modify,"[{'info': 'modify-3', 'subject': 'User', 'attribute': 'Verb', 'label': 'DataPractice'}]",['Verb'],['User'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'User', 'attribute': 'Verb', 'label': 'DataPractice'}]",['Verb'],['User'],[['modify-27']]
28,how,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
29,much,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
30,storage,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
31,the,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
32,app,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
33,uses,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
34,on,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
35,my,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
36,phone,"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']],"[{'info': 'modify-3', 'subject': 'None', 'attribute': 'InfoType', 'label': ''}]",['InfoType'],['O'],[['modify-27']]
37,",",O,O,O,O,O,O,O,O
38,which,O,O,O,O,O,O,O,O
39,is,O,O,O,O,O,O,O,O
40,helpful,O,O,O,O,O,O,O,O
41,.,O,O,O,O,O,O,O,O
42,I,O,O,O,O,O,O,O,O
43,can,O,O,O,O,O,O,O,O
